Color,Calories ,Spice,Cost,Ingredients ,State,Rank according to bowl emptiness
Green,10,Medium,4.49,Tomatillo ,Out of Country ,8
Green,40,Hot,5.49,Habanero ,Texas,11
Green,10,Hot,3.49,Jalapeño ,Texas,4
Red,10,Medium,5.49,Tomato,Texas ,5
Red,15,Medium,2.5,Black Bean & Corn,California ,6
Red,10,Medium,5.49,Ginger & Thai Chili,Colorado ,9
Red,5,Medium,4.99,Chimayó Chili,New Mexico ,7
Red,10,Medium,2.59,Tomato ,Texas,2
Red,5,Hot,4.49,Chipotle ,New Mexico ,18
Red,10,Mild,3.99,Tomato ,New Mexico,14
Red,10,Medium,3.99,Tomato ,Texas,20
Red,5,Medium,3.69,Tomato ,New Mexico,19
Red,10,Medium,2.29,Tomato ,California ,15
Red,10,Medium,3.79,Tomato ,Ohio,16
Red,20,Sweet,4.49,Peach,New Mexico ,17
Red,10,Medium,3.99,Tomato ,Texas,10
Red,10,Medium,4.79,Cilantro & Lime,New Mexico,12
Green,10,Medium,2.69,Tomatillo ,California ,3
Red,15,Medium,3.49,Mango Habanero ,Texas,13
Red,15,Medium,4.99,"Chipotle , Tomatillos , & Coffee",Texas,1
